Link_ID,Length_L_km,Area_H_km2
442531,0.805,0.35259
426625,0.263,0.07568
481623,0.618,0.13789
453128,0.779,0.27669
456289,1.338,0.64122
386792,0.326,0.07601
426638,0.518,0.27751
384681,0.941,0.46881
371483,0.682,0.30451
431871,0.751,0.28995
449816,1.1,0.41519
428869,0.325,0.15133
469062,0.588,0.21341
402242,0.457,0.11382
446625,0.996,0.52861
469490,0.908,1.23033
470455,0.587,0.13806
423437,0.998,0.69398
419991,0.969,0.53015
469772,0.545,0.27614
399738,0.651,0.39216
426496,0.684,0.32798
438469,0.294,0.10078
386294,0.585,0.29137
379509,0.646,0.50722
381598,0.259,0.1521
440976,0.384,0.17633
385847,0.682,0.24071
420142,0.131,0.02524
379088,0.29,0.13946
382221,0.163,0.06337
454349,0.45,0.22634
366085,1.241,0.69807
394839,0.452,0.22783
420542,0.425,0.32817
470228,0.981,0.55224
447530,0.354,0.30204
462342,1.175,0.62817
379969,0.489,0.12677
391648,0.426,0.10129
370644,0.457,0.32986
417873,0.518,0.2146
418021,1.57,0.93419
387698,0.426,0.19
435601,0.553,0.20162
422378,0.457,0.34073
483624,1.396,1.11908
427044,0.355,0.1892
398337,1.986,0.83512
399942,0.356,0.16445
401880,0.585,0.13915
468199,0.162,0.02511
405515,0.716,0.30342
391472,0.62,0.21525
477635,0.802,0.65208
442845,0.425,0.11333
401349,0.355,0.15178
448931,0.804,0.6542
450226,0.588,0.25163
414683,0.163,0.1264
414164,0.294,0.08841
412443,1.362,0.96014
413360,1.036,0.44211
470063,0.456,0.31384
397074,0.778,0.48075
482462,0.425,0.1128
422385,0.457,0.26501
428662,0.588,0.26483
412451,1.633,1.12442
407276,0.62,0.22752
424535,0.71,0.17663
402694,0.096,0.02529
395588,0.356,0.17716
366307,0.589,0.17771
434374,0.421,0.39056
471860,0.42,0.13804
475520,0.556,0.36376
440469,0.719,0.26451
429488,0.517,0.20176
386972,0.519,0.17734
415143,0.425,0.1263
435453,0.355,0.26463
393984,0.163,0.08859
416748,1.071,1.06137
459471,1.369,0.71636
430506,1.131,0.7565
381298,0.941,0.22816
397073,1.401,0.86033
472367,1.414,0.79055
480340,0.708,0.35169
429187,1.041,0.73136
376664,0.489,0.24093
471401,1.061,0.5271
405327,0.131,0.02528
409290,1.208,0.74559
440316,0.619,0.35269
483604,0.545,0.27643
483180,0.131,0.06268
435758,0.457,0.11341
436073,0.457,0.126
435406,0.715,0.15121
430176,0.131,0.03783
408697,0.481,0.3286
485139,1.229,0.62653
483602,0.263,0.11308
434462,0.163,0.01281
421090,0.288,0.12622
488042,0.425,0.16287
451053,0.75,0.26419
480383,0.131,0.01261
444147,0.68,0.33994
441454,1.551,0.79344
430513,1.403,0.68091
409838,0.908,0.3412
480355,0.583,0.32686
374015,0.809,0.52007
444696,1.101,0.39025
420383,0.294,0.05047
392867,0.549,0.29118
378643,0.426,0.16483
483863,0.294,0.08774
398029,1.645,1.27798
480955,1.6,0.94028
453330,1.617,0.69174
399718,0.422,0.24048
462482,0.421,0.22612
382913,0.457,0.19005
477292,0.587,0.43893
411452,0.488,0.3032
400484,0.289,0.17709
411857,1.602,1.52884
418524,0.259,0.101
454162,0.131,0.02521
419164,0.62,0.42928
441456,0.913,0.35264
363534,0.88,0.4571
432166,0.488,0.13866
364878,0.683,0.39354
412654,0.425,0.29054
450912,0.354,0.16354
411695,1.114,0.7832
410847,0.518,0.24007
458375,1.656,0.87985
438602,0.776,0.3779
437646,0.488,0.23936
441612,0.517,0.2015
394158,0.326,0.02532
385851,0.778,0.55734
437648,0.619,0.18897
480942,0.449,0.36354
428669,0.939,0.30267
399662,0.557,0.468
419688,0.163,0.11356
454934,0.575,0.35211
425596,0.649,0.23968
438288,0.642,0.60469
399591,2.212,0.97362
429335,1.076,0.70624
435191,0.355,0.22686
476338,0.618,0.28851
432925,0.192,0.07564
468868,0.841,0.50214
416030,0.355,0.16418
395395,0.163,0.1139
447531,0.9,0.51597
484522,0.516,0.30075
405689,0.681,0.22754
454137,0.525,0.18878
483335,1.547,1.15344
403195,0.163,0.05058
437349,0.163,0.0378
418968,1.849,1.35055
435590,0.355,0.26463
382234,0.585,0.27881
445754,0.488,0.18881
394161,0.259,0.10126
407104,1.924,0.87226
487867,0.325,0.28824
399636,0.096,0.05057
425598,1.013,0.58026
431878,1.27,0.52948
384971,0.457,0.24069
418341,0.62,0.16412
421559,0.882,0.32812
436080,0.709,0.36541
450018,0.456,0.18872
393782,0.426,0.27848
397076,0.294,0.11385
476949,0.353,0.30099
394336,0.72,0.35441
419180,0.457,0.31559
445078,1.638,0.96933
434454,0.096,0.06323
431019,0.557,0.18911
393253,0.557,0.22786
413365,0.294,0.10106
388835,0.905,0.58262
449517,0.842,0.25164
371846,0.453,0.19031
414819,0.751,0.37889
398507,1.133,0.83493
462129,0.746,0.37693
428670,1.013,0.42878
380950,0.688,0.22816
380943,0.875,0.82388
487688,0.544,0.47612
380137,1.078,0.64637
450373,1.013,0.31451
402395,0.425,0.29087
478900,1.48,0.73977
380808,0.779,0.34225
421726,1.437,1.22378
480331,0.325,0.12555
431711,1.045,0.35299
464932,0.612,0.51495
402399,0.457,0.16441
413977,0.163,0.06316
441748,0.421,0.18891
413207,0.326,0.06316
438287,0.738,0.50394
366306,0.131,0.02539
401200,0.778,0.69567
419158,0.294,0.26511
449518,0.517,0.30197
395051,1.73,0.91133
466172,0.765,0.52751
427177,1.396,0.36577
390122,1.24,0.64581
479793,0.095,0.02507
430678,0.782,0.17651
451336,0.517,0.239
429028,0.163,0.03783
457930,0.488,0.15084
413985,0.681,0.32841
416601,1.208,0.66929
420696,0.851,0.53009
419188,0.62,0.2146
434565,0.517,0.21424
448320,1.254,0.99415
416755,1.065,0.58084
450509,0.45,0.20129
405312,1.296,0.74592
395392,0.588,0.25312
432662,0.488,0.16387
392332,1.779,1.06345
415810,0.425,0.22753
403765,0.452,0.31611
457932,0.775,0.21369
424509,0.584,0.42889
434926,1.16,0.80651
432928,0.394,0.15126
428677,0.719,0.36574
434443,0.294,0.15161
369630,0.519,0.24113
411280,0.259,0.11375
372427,0.294,0.07612
445761,0.85,0.49091
386284,0.808,0.54472
411478,0.518,0.2529
406202,0.688,0.37924
414277,1.361,0.8589
442841,0.131,0.03777
393466,0.326,0.16456
404853,0.807,0.30344
398520,0.651,0.26569
410532,0.481,0.27799
394166,0.193,0.13922
456761,1.645,0.94285
446179,0.456,0.13846
445586,0.65,0.17623
415813,0.488,0.31605
434742,0.517,0.13863
382060,0.426,0.17744
445594,0.45,0.27693
454161,0.421,0.50385
418349,0.518,0.20199
382703,0.457,0.13941
441933,0.709,0.5541
419692,0.976,0.35318
387693,1.102,0.68343
479988,0.587,0.18811
418034,0.385,0.16413
407088,0.263,0.07585
411860,0.72,0.49297
383509,0.589,0.19008
469773,0.487,0.12552
444940,0.871,0.59166
477777,0.819,0.464
408978,0.777,0.50553
444532,0.488,0.22661
414158,0.879,0.45471
470936,0.587,0.21336
471850,0.587,0.58981
